3025
abcdefg	h	i
adeg	bchi	f
adeg	bfhi	c
adeg	b	cfhi
adeh	bcfg	i
adeh	bcfi	g
adeh	bcgi	f
adeh	bfgi	c
adeh	b	cfgi
adei	bcfg	h
adei	bcfh	g
adei	bcgh	f
adei	bfgh	c
adei	b	cfgh
adfg	bceh	i
adfg	bcei	h
adfg	bchi	e
adfg	behi	c
adfg	b	cehi
adfh	bceg	i
adfh	bcei	g
adfh	bcgi	e
adfh	begi	c
adfh	b	cegi
adfi	bceg	h
adfi	bceh	g
adfi	bcgh	e
adfi	begh	c
adfi	b	cegh
adgh	bcef	i
adgh	bcei	f
adgh	bcfi	e
adgh	befi	c
adgh	b	cefi
adgi	bcef	h
adgi	bceh	f
adgi	bcfh	e
adgi	befh	c
adgi	b	cefh
adhi	bcef	g
adhi	bceg	f
adhi	bcfg	e
adhi	befg	c
adhi	b	cefg
aefg	bcdh	i
aefg	bcdi	h
aefg	bchi	d
aefg	bdhi	c
aefg	b	cdhi
aefh	bcdg	i
aefh	bcdi	g
aefh	bcgi	d
aefh	bdgi	c
aefh	b	cdgi
aefi	bcdg	h
aefi	bcdh	g
aefi	bcgh	d
aefi	bdgh	c
aefi	b	cdgh
aegh	bcdf	i
aegh	bcdi	f
aegh	bcfi	d
aegh	bdfi	c
aegh	b	cdfi
aegi	bcdf	h
aegi	bcdh	f
aegi	bcfh	d
aegi	bdfh	c
aegi	b	cdfh
aehi	bcdf	g
aehi	bcdg	f
aehi	bcfg	d
aehi	bdfg	c
aehi	b	cdfg
afgh	bcde	i
afgh	bcdi	e
afgh	bcei	d
afgh	bdei	c
afgh	b	cdei
afgi	bcde	h
afgi	bcdh	e
afgi	bceh	d
afgi	bdeh	c
afgi	b	cdeh
afhi	bcde	g
afhi	bcdg	e
afhi	bceg	d
afhi	bdeg	c
afhi	b	cdeg
aghi	bcde	f
aghi	bcdf	e
aghi	bcef	d
aghi	bdef	c
aghi	b	cdef
a	bcde	fghi
a	bcdf	eghi
a	bcdg	efhi
a	bcdh	efgi
a	bcdi	efgh
a	bcef	dghi
a	bceg	dfhi
a	bceh	dfgi
a	bcei	dfgh
a	bcfg	dehi
a	bcfh	degi
a	bcfi	degh
a	bcgh	defi
a	bcgi	defh
a	bchi	defg
a	bdef	cghi
a	bdeg	cfhi
a	bdeh	cfgi
a	bdei	cfgh
a	bdfg	cehi
a	bdfh	cegi
a	bdfi	cegh
a	bdgh	cefi
a	bdgi	cefh
a	bdhi	cefg
a	befg	cdhi
a	befh	cdgi
a	befi	cdgh
a	begh	cdfi
a	begi	cdfh
a	behi	cdfg
a	bfgh	cdei
a	bfgi	cdeh
a	bfhi	cdeg
a	bghi	cdef
abcd	efg	hi
abcd	efh	gi
abcd	efi	gh
abcd	egh	fi
abcd	egi	fh
abcd	ehi	fg
abcd	ei	fgh
abcd	eh	fgi
abcd	eg	fhi
abcd	ef	ghi
abce	dfg	hi
abce	dfh	gi
abce	dfi	gh
abce	dgh	fi
abce	dgi	fh
abce	dhi	fg
abce	di	fgh
abce	dh	fgi
abce	dg	fhi
abce	df	ghi
abcf	deg	hi
abcf	deh	gi
abcf	dei	gh
abcf	dgh	ei
abcf	dgi	eh
abcf	dhi	eg
abcf	di	egh
abcf	dh	egi
abcf	dg	ehi
abcf	de	ghi
abcg	def	hi
abcg	deh	fi
abcg	dei	fh
abcg	dfh	ei
abcg	dfi	eh
abcg	dhi	ef
abcg	di	efh
abcg	dh	efi
abcg	df	ehi
abcg	de	fhi
abch	def	gi
abch	deg	fi
abch	dei	fg
abch	dfg	ei
abch	dfi	eg
abch	dgi	ef
abch	di	efg
abch	dg	efi
abch	df	egi
abch	de	fgi
abci	def	gh
abci	deg	fh
abci	deh	fg
abci	dfg	eh
abci	dfh	eg
abci	dgh	ef
abci	dh	efg
abci	dg	efh
abci	df	egh
abci	de	fgh
abde	cfg	hi
abde	cfh	gi
abde	cfi	gh
abde	cgh	fi
abde	cgi	fh
abde	chi	fg
abde	ci	fgh
abde	ch	fgi
abde	cg	fhi
abde	cf	ghi
abdf	ceg	hi
abdf	ceh	gi
abdf	cei	gh
abdf	cgh	ei
abdf	cgi	eh
abdf	chi	eg
abdf	ci	egh
abdf	ch	egi
abdf	cg	ehi
abdf	ce	ghi
abdg	cef	hi
abdg	ceh	fi
abdg	cei	fh
abdg	cfh	ei
abdg	cfi	eh
abdg	chi	ef
abdg	ci	efh
abdg	ch	efi
abdg	cf	ehi
abdg	ce	fhi
abdh	cef	gi
abdh	ceg	fi
abdh	cei	fg
abdh	cfg	ei
abdh	cfi	eg
abdh	cgi	ef
abdh	ci	efg
abdh	cg	efi
abdh	cf	egi
abdh	ce	fgi
abdi	cef	gh
abdi	ceg	fh
abdi	ceh	fg
abdi	cfg	eh
abdi	cfh	eg
abdi	cgh	ef
abdi	ch	efg
abdi	cg	efh
abdi	cf	egh
abdi	ce	fgh
abef	cdg	hi
abef	cdh	gi
abef	cdi	gh
abef	cgh	di
abef	cgi	dh
abef	chi	dg
abef	ci	dgh
abef	ch	dgi
abef	cg	dhi
abef	cd	ghi
abeg	cdf	hi
abeg	cdh	fi
abeg	cdi	fh
abeg	cfh	di
abeg	cfi	dh
abeg	chi	df
abeg	ci	dfh
abeg	ch	dfi
abeg	cf	dhi
abeg	cd	fhi
abeh	cdf	gi
abeh	cdg	fi
abeh	cdi	fg
abeh	cfg	di
abeh	cfi	dg
abeh	cgi	df
abeh	ci	dfg
abeh	cg	dfi
abeh	cf	dgi
abeh	cd	fgi
abei	cdf	gh
abei	cdg	fh
abei	cdh	fg
abei	cfg	dh
abei	cfh	dg
abei	cgh	df
abei	ch	dfg
abei	cg	dfh
abei	cf	dgh
abei	cd	fgh
abfg	cde	hi
abfg	cdh	ei
abfg	cdi	eh
abfg	ceh	di
abfg	cei	dh
abfg	chi	de
abfg	ci	deh
abfg	ch	dei
abfg	ce	dhi
abfg	cd	ehi
abfh	cde	gi
abfh	cdg	ei
abfh	cdi	eg
abfh	ceg	di
abfh	cei	dg
abfh	cgi	de
abfh	ci	deg
abfh	cg	dei
abfh	ce	dgi
abfh	cd	egi
abfi	cde	gh
abfi	cdg	eh
abfi	cdh	eg
abfi	ceg	dh
abfi	ceh	dg
abfi	cgh	de
abfi	ch	deg
abfi	cg	deh
abfi	ce	dgh
abfi	cd	egh
abgh	cde	fi
abgh	cdf	ei
abgh	cdi	ef
abgh	cef	di
abgh	cei	df
abgh	cfi	de
abgh	ci	def
abgh	cf	dei
abgh	ce	dfi
abgh	cd	efi
abgi	cde	fh
abgi	cdf	eh
abgi	cdh	ef
abgi	cef	dh
abgi	ceh	df
abgi	cfh	de
abgi	ch	def
abgi	cf	deh
abgi	ce	dfh
abgi	cd	efh
abhi	cde	fg
abhi	cdf	eg
abhi	cdg	ef
abhi	cef	dg
abhi	ceg	df
abhi	cfg	de
abhi	cg	def
abhi	cf	deg
abhi	ce	dfg
abhi	cd	efg
acde	bfg	hi
acde	bfh	gi
acde	bfi	gh
acde	bgh	fi
acde	bgi	fh
acde	bhi	fg
acde	bi	fgh
acde	bh	fgi
acde	bg	fhi
acde	bf	ghi
acdf	beg	hi
acdf	beh	gi
acdf	bei	gh
acdf	bgh	ei
acdf	bgi	eh
acdf	bhi	eg
acdf	bi	egh
acdf	bh	egi
acdf	bg	ehi
acdf	be	ghi
acdg	bef	hi
acdg	beh	fi
acdg	bei	fh
acdg	bfh	ei
acdg	bfi	eh
acdg	bhi	ef
acdg	bi	efh
acdg	bh	efi
acdg	bf	ehi
acdg	be	fhi
acdh	bef	gi
acdh	beg	fi
acdh	bei	fg
acdh	bfg	ei
acdh	bfi	eg
acdh	bgi	ef
acdh	bi	efg
acdh	bg	efi
acdh	bf	egi
acdh	be	fgi
acdi	bef	gh
acdi	beg	fh
acdi	beh	fg
acdi	bfg	eh
acdi	bfh	eg
acdi	bgh	ef
acdi	bh	efg
acdi	bg	efh
acdi	bf	egh
acdi	be	fgh
acef	bdg	hi
acef	bdh	gi
acef	bdi	gh
acef	bgh	di
acef	bgi	dh
acef	bhi	dg
acef	bi	dgh
acef	bh	dgi
acef	bg	dhi
acef	bd	ghi
aceg	bdf	hi
aceg	bdh	fi
aceg	bdi	fh
aceg	bfh	di
aceg	bfi	dh
aceg	bhi	df
aceg	bi	dfh
aceg	bh	dfi
aceg	bf	dhi
aceg	bd	fhi
aceh	bdf	gi
aceh	bdg	fi
aceh	bdi	fg
aceh	bfg	di
aceh	bfi	dg
aceh	bgi	df
aceh	bi	dfg
aceh	bg	dfi
aceh	bf	dgi
aceh	bd	fgi
acei	bdf	gh
acei	bdg	fh
acei	bdh	fg
acei	bfg	dh
acei	bfh	dg
acei	bgh	df
acei	bh	dfg
acei	bg	dfh
acei	bf	dgh
acei	bd	fgh
acfg	bde	hi
acfg	bdh	ei
acfg	bdi	eh
acfg	beh	di
acfg	bei	dh
acfg	bhi	de
acfg	bi	deh
acfg	bh	dei
acfg	be	dhi
acfg	bd	ehi
acfh	bde	gi
acfh	bdg	ei
acfh	bdi	eg
acfh	beg	di
acfh	bei	dg
acfh	bgi	de
acfh	bi	deg
acfh	bg	dei
acfh	be	dgi
acfh	bd	egi
acfi	bde	gh
acfi	bdg	eh
acfi	bdh	eg
acfi	beg	dh
acfi	beh	dg
acfi	bgh	de
acfi	bh	deg
acfi	bg	deh
acfi	be	dgh
acfi	bd	egh
acgh	bde	fi
acgh	bdf	ei
acgh	bdi	ef
acgh	bef	di
acgh	bei	df
acgh	bfi	de
acgh	bi	def
acgh	bf	dei
acgh	be	dfi
acgh	bd	efi
acgi	bde	fh
acgi	bdf	eh
acgi	bdh	ef
acgi	bef	dh
acgi	beh	df
acgi	bfh	de
acgi	bh	def
acgi	bf	deh
acgi	be	dfh
acgi	bd	efh
achi	bde	fg
achi	bdf	eg
achi	bdg	ef
achi	bef	dg
achi	beg	df
achi	bfg	de
achi	bg	def
achi	bf	deg
achi	be	dfg
achi	bd	efg
adef	bcg	hi
adef	bch	gi
adef	bci	gh
adef	bgh	ci
adef	bgi	ch
adef	bhi	cg
adef	bi	cgh
adef	bh	cgi
adef	bg	chi
adef	bc	ghi
adeg	bcf	hi
adeg	bch	fi
adeg	bci	fh
adeg	bfh	ci
adeg	bfi	ch
adeg	bhi	cf
adeg	bi	cfh
adeg	bh	cfi
adeg	bf	chi
adeg	bc	fhi
adeh	bcf	gi
adeh	bcg	fi
adeh	bci	fg
adeh	bfg	ci
adeh	bfi	cg
adeh	bgi	cf
adeh	bi	cfg
adeh	bg	cfi
adeh	bf	cgi
adeh	bc	fgi
adei	bcf	gh
adei	bcg	fh
adei	bch	fg
adei	bfg	ch
adei	bfh	cg
adei	bgh	cf
adei	bh	cfg
adei	bg	cfh
adei	bf	cgh
adei	bc	fgh
adfg	bce	hi
adfg	bch	ei
adfg	bci	eh
adfg	beh	ci
adfg	bei	ch
adfg	bhi	ce
adfg	bi	ceh
adfg	bh	cei
adfg	be	chi
adfg	bc	ehi
adfh	bce	gi
adfh	bcg	ei
adfh	bci	eg
adfh	beg	ci
adfh	bei	cg
adfh	bgi	ce
adfh	bi	ceg
adfh	bg	cei
adfh	be	cgi
adfh	bc	egi
adfi	bce	gh
adfi	bcg	eh
adfi	bch	eg
adfi	beg	ch
adfi	beh	cg
adfi	bgh	ce
adfi	bh	ceg
adfi	bg	ceh
adfi	be	cgh
adfi	bc	egh
adgh	bce	fi
adgh	bcf	ei
adgh	bci	ef
adgh	bef	ci
adgh	bei	cf
adgh	bfi	ce
adgh	bi	cef
adgh	bf	cei
adgh	be	cfi
adgh	bc	efi
adgi	bce	fh
adgi	bcf	eh
adgi	bch	ef
adgi	bef	ch
adgi	beh	cf
adgi	bfh	ce
adgi	bh	cef
adgi	bf	ceh
adgi	be	cfh
adgi	bc	efh
adhi	bce	fg
adhi	bcf	eg
adhi	bcg	ef
adhi	bef	cg
adhi	beg	cf
adhi	bfg	ce
adhi	bg	cef
adhi	bf	ceg
adhi	be	cfg
adhi	bc	efg
aefg	bcd	hi
aefg	bch	di
aefg	bci	dh
aefg	bdh	ci
aefg	bdi	ch
aefg	bhi	cd
aefg	bi	cdh
aefg	bh	cdi
aefg	bd	chi
aefg	bc	dhi
aefh	bcd	gi
aefh	bcg	di
aefh	bci	dg
aefh	bdg	ci
aefh	bdi	cg
aefh	bgi	cd
aefh	bi	cdg
aefh	bg	cdi
aefh	bd	cgi
aefh	bc	dgi
aefi	bcd	gh
aefi	bcg	dh
aefi	bch	dg
aefi	bdg	ch
aefi	bdh	cg
aefi	bgh	cd
aefi	bh	cdg
aefi	bg	cdh
aefi	bd	cgh
aefi	bc	dgh
aegh	bcd	fi
aegh	bcf	di
aegh	bci	df
aegh	bdf	ci
aegh	bdi	cf
aegh	bfi	cd
aegh	bi	cdf
aegh	bf	cdi
aegh	bd	cfi
aegh	bc	dfi
aegi	bcd	fh
aegi	bcf	dh
aegi	bch	df
aegi	bdf	ch
aegi	bdh	cf
aegi	bfh	cd
aegi	bh	cdf
aegi	bf	cdh
aegi	bd	cfh
aegi	bc	dfh
aehi	bcd	fg
aehi	bcf	dg
aehi	bcg	df
aehi	bdf	cg
aehi	bdg	cf
aehi	bfg	cd
aehi	bg	cdf
aehi	bf	cdg
aehi	bd	cfg
aehi	bc	dfg
afgh	bcd	ei
afgh	bce	di
afgh	bci	de
afgh	bde	ci
afgh	bdi	ce
afgh	bei	cd
afgh	bi	cde
afgh	be	cdi
afgh	bd	cei
afgh	bc	dei
afgi	bcd	eh
afgi	bce	dh
afgi	bch	de
afgi	bde	ch
afgi	bdh	ce
afgi	beh	cd
afgi	bh	cde
afgi	be	cdh
afgi	bd	ceh
afgi	bc	deh
afhi	bcd	eg
afhi	bce	dg
afhi	bcg	de
afhi	bde	cg
afhi	bdg	ce
afhi	beg	cd
afhi	bg	cde
afhi	be	cdg
afhi	bd	ceg
afhi	bc	deg
aghi	bcd	ef
aghi	bce	df
aghi	bcf	de
aghi	bde	cf
aghi	bdf	ce
aghi	bef	cd
aghi	bf	cde
aghi	be	cdf
aghi	bd	cef
aghi	bc	def
afg	bcde	hi
afh	bcde	gi
afi	bcde	gh
agh	bcde	fi
agi	bcde	fh
ahi	bcde	fg
ai	bcde	fgh
ah	bcde	fgi
ag	bcde	fhi
af	bcde	ghi
aeg	bcdf	hi
aeh	bcdf	gi
aei	bcdf	gh
agh	bcdf	ei
agi	bcdf	eh
ahi	bcdf	eg
ai	bcdf	egh
ah	bcdf	egi
ag	bcdf	ehi
ae	bcdf	ghi
aef	bcdg	hi
aeh	bcdg	fi
aei	bcdg	fh
afh	bcdg	ei
afi	bcdg	eh
ahi	bcdg	ef
ai	bcdg	efh
ah	bcdg	efi
af	bcdg	ehi
ae	bcdg	fhi
aef	bcdh	gi
aeg	bcdh	fi
aei	bcdh	fg
afg	bcdh	ei
afi	bcdh	eg
agi	bcdh	ef
ai	bcdh	efg
ag	bcdh	efi
af	bcdh	egi
ae	bcdh	fgi
aef	bcdi	gh
aeg	bcdi	fh
aeh	bcdi	fg
afg	bcdi	eh
afh	bcdi	eg
agh	bcdi	ef
ah	bcdi	efg
ag	bcdi	efh
af	bcdi	egh
ae	bcdi	fgh
adg	bcef	hi
adh	bcef	gi
adi	bcef	gh
agh	bcef	di
agi	bcef	dh
ahi	bcef	dg
ai	bcef	dgh
ah	bcef	dgi
ag	bcef	dhi
ad	bcef	ghi
adf	bceg	hi
adh	bceg	fi
adi	bceg	fh
afh	bceg	di
afi	bceg	dh
ahi	bceg	df
ai	bceg	dfh
ah	bceg	dfi
af	bceg	dhi
ad	bceg	fhi
adf	bceh	gi
adg	bceh	fi
adi	bceh	fg
afg	bceh	di
afi	bceh	dg
agi	bceh	df
ai	bceh	dfg
ag	bceh	dfi
af	bceh	dgi
ad	bceh	fgi
adf	bcei	gh
adg	bcei	fh
adh	bcei	fg
afg	bcei	dh
afh	bcei	dg
agh	bcei	df
ah	bcei	dfg
ag	bcei	dfh
af	bcei	dgh
ad	bcei	fgh
ade	bcfg	hi
adh	bcfg	ei
adi	bcfg	eh
aeh	bcfg	di
aei	bcfg	dh
ahi	bcfg	de
ai	bcfg	deh
ah	bcfg	dei
ae	bcfg	dhi
ad	bcfg	ehi
ade	bcfh	gi
adg	bcfh	ei
adi	bcfh	eg
aeg	bcfh	di
aei	bcfh	dg
agi	bcfh	de
ai	bcfh	deg
ag	bcfh	dei
ae	bcfh	dgi
ad	bcfh	egi
ade	bcfi	gh
adg	bcfi	eh
adh	bcfi	eg
aeg	bcfi	dh
aeh	bcfi	dg
agh	bcfi	de
ah	bcfi	deg
ag	bcfi	deh
ae	bcfi	dgh
ad	bcfi	egh
ade	bcgh	fi
adf	bcgh	ei
adi	bcgh	ef
aef	bcgh	di
aei	bcgh	df
afi	bcgh	de
ai	bcgh	def
af	bcgh	dei
ae	bcgh	dfi
ad	bcgh	efi
ade	bcgi	fh
adf	bcgi	eh
adh	bcgi	ef
aef	bcgi	dh
aeh	bcgi	df
afh	bcgi	de
ah	bcgi	def
af	bcgi	deh
ae	bcgi	dfh
ad	bcgi	efh
ade	bchi	fg
adf	bchi	eg
adg	bchi	ef
aef	bchi	dg
aeg	bchi	df
afg	bchi	de
ag	bchi	def
af	bchi	deg
ae	bchi	dfg
ad	bchi	efg
acg	bdef	hi
ach	bdef	gi
aci	bdef	gh
agh	bdef	ci
agi	bdef	ch
ahi	bdef	cg
ai	bdef	cgh
ah	bdef	cgi
ag	bdef	chi
ac	bdef	ghi
acf	bdeg	hi
ach	bdeg	fi
aci	bdeg	fh
afh	bdeg	ci
afi	bdeg	ch
ahi	bdeg	cf
ai	bdeg	cfh
ah	bdeg	cfi
af	bdeg	chi
ac	bdeg	fhi
acf	bdeh	gi
acg	bdeh	fi
aci	bdeh	fg
afg	bdeh	ci
afi	bdeh	cg
agi	bdeh	cf
ai	bdeh	cfg
ag	bdeh	cfi
af	bdeh	cgi
ac	bdeh	fgi
acf	bdei	gh
acg	bdei	fh
ach	bdei	fg
afg	bdei	ch
afh	bdei	cg
agh	bdei	cf
ah	bdei	cfg
ag	bdei	cfh
af	bdei	cgh
ac	bdei	fgh
ace	bdfg	hi
ach	bdfg	ei
aci	bdfg	eh
aeh	bdfg	ci
aei	bdfg	ch
ahi	bdfg	ce
ai	bdfg	ceh
ah	bdfg	cei
ae	bdfg	chi
ac	bdfg	ehi
ace	bdfh	gi
acg	bdfh	ei
aci	bdfh	eg
aeg	bdfh	ci
aei	bdfh	cg
agi	bdfh	ce
ai	bdfh	ceg
ag	bdfh	cei
ae	bdfh	cgi
ac	bdfh	egi
ace	bdfi	gh
acg	bdfi	eh
ach	bdfi	eg
aeg	bdfi	ch
aeh	bdfi	cg
agh	bdfi	ce
ah	bdfi	ceg
ag	bdfi	ceh
ae	bdfi	cgh
ac	bdfi	egh
ace	bdgh	fi
acf	bdgh	ei
aci	bdgh	ef
aef	bdgh	ci
aei	bdgh	cf
afi	bdgh	ce
ai	bdgh	cef
af	bdgh	cei
ae	bdgh	cfi
ac	bdgh	efi
ace	bdgi	fh
acf	bdgi	eh
ach	bdgi	ef
aef	bdgi	ch
aeh	bdgi	cf
afh	bdgi	ce
ah	bdgi	cef
af	bdgi	ceh
ae	bdgi	cfh
ac	bdgi	efh
ace	bdhi	fg
acf	bdhi	eg
acg	bdhi	ef
aef	bdhi	cg
aeg	bdhi	cf
afg	bdhi	ce
ag	bdhi	cef
af	bdhi	ceg
ae	bdhi	cfg
ac	bdhi	efg
acd	befg	hi
ach	befg	di
aci	befg	dh
adh	befg	ci
adi	befg	ch
ahi	befg	cd
ai	befg	cdh
ah	befg	cdi
ad	befg	chi
ac	befg	dhi
acd	befh	gi
acg	befh	di
aci	befh	dg
adg	befh	ci
adi	befh	cg
agi	befh	cd
ai	befh	cdg
ag	befh	cdi
ad	befh	cgi
ac	befh	dgi
acd	befi	gh
acg	befi	dh
ach	befi	dg
adg	befi	ch
adh	befi	cg
agh	befi	cd
ah	befi	cdg
ag	befi	cdh
ad	befi	cgh
ac	befi	dgh
acd	begh	fi
acf	begh	di
aci	begh	df
adf	begh	ci
adi	begh	cf
afi	begh	cd
ai	begh	cdf
af	begh	cdi
ad	begh	cfi
ac	begh	dfi
acd	begi	fh
acf	begi	dh
ach	begi	df
adf	begi	ch
adh	begi	cf
afh	begi	cd
ah	begi	cdf
af	begi	cdh
ad	begi	cfh
ac	begi	dfh
acd	behi	fg
acf	behi	dg
acg	behi	df
adf	behi	cg
adg	behi	cf
afg	behi	cd
ag	behi	cdf
af	behi	cdg
ad	behi	cfg
ac	behi	dfg
acd	bfgh	ei
ace	bfgh	di
aci	bfgh	de
ade	bfgh	ci
adi	bfgh	ce
aei	bfgh	cd
ai	bfgh	cde
ae	bfgh	cdi
ad	bfgh	cei
ac	bfgh	dei
acd	bfgi	eh
ace	bfgi	dh
ach	bfgi	de
ade	bfgi	ch
adh	bfgi	ce
aeh	bfgi	cd
ah	bfgi	cde
ae	bfgi	cdh
ad	bfgi	ceh
ac	bfgi	deh
acd	bfhi	eg
ace	bfhi	dg
acg	bfhi	de
ade	bfhi	cg
adg	bfhi	ce
aeg	bfhi	cd
ag	bfhi	cde
ae	bfhi	cdg
ad	bfhi	ceg
ac	bfhi	deg
acd	bghi	ef
ace	bghi	df
acf	bghi	de
ade	bghi	cf
adf	bghi	ce
aef	bghi	cd
af	bghi	cde
ae	bghi	cdf
ad	bghi	cef
ac	bghi	def
abg	cdef	hi
abh	cdef	gi
abi	cdef	gh
agh	bi	cdef
agi	bh	cdef
ahi	bg	cdef
ai	bgh	cdef
ah	bgi	cdef
ag	bhi	cdef
ab	cdef	ghi
abf	cdeg	hi
abh	cdeg	fi
abi	cdeg	fh
afh	bi	cdeg
afi	bh	cdeg
ahi	bf	cdeg
ai	bfh	cdeg
ah	bfi	cdeg
af	bhi	cdeg
ab	cdeg	fhi
abf	cdeh	gi
abg	cdeh	fi
abi	cdeh	fg
afg	bi	cdeh
afi	bg	cdeh
agi	bf	cdeh
ai	bfg	cdeh
ag	bfi	cdeh
af	bgi	cdeh
ab	cdeh	fgi
abf	cdei	gh
abg	cdei	fh
abh	cdei	fg
afg	bh	cdei
afh	bg	cdei
agh	bf	cdei
ah	bfg	cdei
ag	bfh	cdei
af	bgh	cdei
ab	cdei	fgh
abe	cdfg	hi
abh	cdfg	ei
abi	cdfg	eh
aeh	bi	cdfg
aei	bh	cdfg
ahi	be	cdfg
ai	beh	cdfg
ah	bei	cdfg
ae	bhi	cdfg
ab	cdfg	ehi
abe	cdfh	gi
abg	cdfh	ei
abi	cdfh	eg
aeg	bi	cdfh
aei	bg	cdfh
agi	be	cdfh
ai	beg	cdfh
ag	bei	cdfh
ae	bgi	cdfh
ab	cdfh	egi
abe	cdfi	gh
abg	cdfi	eh
abh	cdfi	eg
aeg	bh	cdfi
aeh	bg	cdfi
agh	be	cdfi
ah	beg	cdfi
ag	beh	cdfi
ae	bgh	cdfi
ab	cdfi	egh
abe	cdgh	fi
abf	cdgh	ei
abi	cdgh	ef
aef	bi	cdgh
aei	bf	cdgh
afi	be	cdgh
ai	bef	cdgh
af	bei	cdgh
ae	bfi	cdgh
ab	cdgh	efi
abe	cdgi	fh
abf	cdgi	eh
abh	cdgi	ef
aef	bh	cdgi
aeh	bf	cdgi
afh	be	cdgi
ah	bef	cdgi
af	beh	cdgi
ae	bfh	cdgi
ab	cdgi	efh
abe	cdhi	fg
abf	cdhi	eg
abg	cdhi	ef
aef	bg	cdhi
aeg	bf	cdhi
afg	be	cdhi
ag	bef	cdhi
af	beg	cdhi
ae	bfg	cdhi
ab	cdhi	efg
abd	cefg	hi
abh	cefg	di
abi	cefg	dh
adh	bi	cefg
adi	bh	cefg
ahi	bd	cefg
ai	bdh	cefg
ah	bdi	cefg
ad	bhi	cefg
ab	cefg	dhi
abd	cefh	gi
abg	cefh	di
abi	cefh	dg
adg	bi	cefh
adi	bg	cefh
agi	bd	cefh
ai	bdg	cefh
ag	bdi	cefh
ad	bgi	cefh
ab	cefh	dgi
abd	cefi	gh
abg	cefi	dh
abh	cefi	dg
adg	bh	cefi
adh	bg	cefi
agh	bd	cefi
ah	bdg	cefi
ag	bdh	cefi
ad	bgh	cefi
ab	cefi	dgh
abd	cegh	fi
abf	cegh	di
abi	cegh	df
adf	bi	cegh
adi	bf	cegh
afi	bd	cegh
ai	bdf	cegh
af	bdi	cegh
ad	bfi	cegh
ab	cegh	dfi
abd	cegi	fh
abf	cegi	dh
abh	cegi	df
adf	bh	cegi
adh	bf	cegi
afh	bd	cegi
ah	bdf	cegi
af	bdh	cegi
ad	bfh	cegi
ab	cegi	dfh
abd	cehi	fg
abf	cehi	dg
abg	cehi	df
adf	bg	cehi
adg	bf	cehi
afg	bd	cehi
ag	bdf	cehi
af	bdg	cehi
ad	bfg	cehi
ab	cehi	dfg
abd	cfgh	ei
abe	cfgh	di
abi	cfgh	de
ade	bi	cfgh
adi	be	cfgh
aei	bd	cfgh
ai	bde	cfgh
ae	bdi	cfgh
ad	bei	cfgh
ab	cfgh	dei
abd	cfgi	eh
abe	cfgi	dh
abh	cfgi	de
ade	bh	cfgi
adh	be	cfgi
aeh	bd	cfgi
ah	bde	cfgi
ae	bdh	cfgi
ad	beh	cfgi
ab	cfgi	deh
abd	cfhi	eg
abe	cfhi	dg
abg	cfhi	de
ade	bg	cfhi
adg	be	cfhi
aeg	bd	cfhi
ag	bde	cfhi
ae	bdg	cfhi
ad	beg	cfhi
ab	cfhi	deg
abd	cghi	ef
abe	cghi	df
abf	cghi	de
ade	bf	cghi
adf	be	cghi
aef	bd	cghi
af	bde	cghi
ae	bdf	cghi
ad	bef	cghi
ab	cghi	def
abc	defg	hi
abh	ci	defg
abi	ch	defg
ach	bi	defg
aci	bh	defg
ahi	bc	defg
ai	bch	defg
ah	bci	defg
ac	bhi	defg
ab	chi	defg
abc	defh	gi
abg	ci	defh
abi	cg	defh
acg	bi	defh
aci	bg	defh
agi	bc	defh
ai	bcg	defh
ag	bci	defh
ac	bgi	defh
ab	cgi	defh
abc	defi	gh
abg	ch	defi
abh	cg	defi
acg	bh	defi
ach	bg	defi
agh	bc	defi
ah	bcg	defi
ag	bch	defi
ac	bgh	defi
ab	cgh	defi
abc	degh	fi
abf	ci	degh
abi	cf	degh
acf	bi	degh
aci	bf	degh
afi	bc	degh
ai	bcf	degh
af	bci	degh
ac	bfi	degh
ab	cfi	degh
abc	degi	fh
abf	ch	degi
abh	cf	degi
acf	bh	degi
ach	bf	degi
afh	bc	degi
ah	bcf	degi
af	bch	degi
ac	bfh	degi
ab	cfh	degi
abc	dehi	fg
abf	cg	dehi
abg	cf	dehi
acf	bg	dehi
acg	bf	dehi
afg	bc	dehi
ag	bcf	dehi
af	bcg	dehi
ac	bfg	dehi
ab	cfg	dehi
abc	dfgh	ei
abe	ci	dfgh
abi	ce	dfgh
ace	bi	dfgh
aci	be	dfgh
aei	bc	dfgh
ai	bce	dfgh
ae	bci	dfgh
ac	bei	dfgh
ab	cei	dfgh
abc	dfgi	eh
abe	ch	dfgi
abh	ce	dfgi
ace	bh	dfgi
ach	be	dfgi
aeh	bc	dfgi
ah	bce	dfgi
ae	bch	dfgi
ac	beh	dfgi
ab	ceh	dfgi
abc	dfhi	eg
abe	cg	dfhi
abg	ce	dfhi
ace	bg	dfhi
acg	be	dfhi
aeg	bc	dfhi
ag	bce	dfhi
ae	bcg	dfhi
ac	beg	dfhi
ab	ceg	dfhi
abc	dghi	ef
abe	cf	dghi
abf	ce	dghi
ace	bf	dghi
acf	be	dghi
aef	bc	dghi
af	bce	dghi
ae	bcf	dghi
ac	bef	dghi
ab	cef	dghi
abc	di	efgh
abd	ci	efgh
abi	cd	efgh
acd	bi	efgh
aci	bd	efgh
adi	bc	efgh
